snapshot,Load,coal,CCGT,OCGT,onwind,solar,ror,battery,hydro
2018-01-15 00:00:00,14493.901759390788,9811.898190083099,1891.4140121651499,187.5245371318305,1121.520880921877,0.0,55.024784,0.0,1426.5193546980445
2018-01-15 01:00:00,14947.181651134733,9994.7045888611,1990.0654963622808,229.76505251422424,1067.4407114301232,0.0,55.138205,0.0,1610.0675948322753
2018-01-15 02:00:00,14800.964028651306,9949.00857747174,2002.5997931485645,225.28716785386496,1013.3989988355136,0.0,55.138205,0.0,1555.5312846903175
2018-01-15 03:00:00,14938.068080986744,10002.316144026809,2080.7659442102868,240.46747398935622,947.1507829292578,46.28790265693274,55.138205,0.0,1565.941629187359
2018-01-15 04:00:00,14670.781027583027,9510.471577511473,1988.0579403177414,219.0081927436961,883.4953293714564,737.589639055635,55.168347999999995,0.0,1276.99
2018-01-15 05:00:00,14620.40571377703,8761.063707518955,1677.0066092943555,211.45556274606162,774.2247084699745,1864.4967759706542,55.168347999999995,0.0,1276.99
2018-01-15 06:00:00,14614.174575117708,7923.374038810335,1251.561603215383,171.88987369828976,658.6197408748106,3092.5132026257775,55.168347999999995,0.0,1461.0477667754049
2018-01-15 07:00:00,14605.138473970172,7623.586996067886,851.0079768946882,119.24797531993894,559.766881700286,4119.277116017202,55.261528,0.0,1276.99
2018-01-15 08:00:00,14518.494512837457,7394.002008407956,733.5643355382837,79.13721645937608,507.27935757760935,4472.260066016777,55.261528,0.0,1276.99
2018-01-15 09:00:00,14531.931730218446,7619.757248755634,707.6648338245474,44.61346138095843,504.1176018732808,4323.620237165582,55.168347999999995,0.0,1276.99
2018-01-15 10:00:00,14703.009593452003,7544.021072745296,781.4116828585898,44.35234511455454,573.4951334476477,3555.9324017790022,55.168347999999995,0.0,2148.628612054913
2018-01-15 11:00:00,15330.299477012806,8561.02787618448,1245.336621525992,115.87195835142558,631.2805607585906,2284.958708878878,55.168347999999995,0.0,2436.655403300635
2018-01-15 12:00:00,15382.614439188705,9360.753734785094,1734.3222134173611,177.2652742958798,725.8819872674183,911.5488153892119,54.711788,0.0,2418.130623845037
2018-01-15 13:00:00,15385.796514924423,10110.258000755333,2127.0141576339197,233.36470729924673,881.9242084181897,183.97317873855295,54.711788,0.0,1794.5504721547586
2018-01-15 14:00:00,15252.23557310041,10031.93427447494,2177.449684812412,247.4745115793073,999.4652282814911,0.0,54.711788,0.0,1741.2000868518526
2018-01-15 15:00:00,14677.107175393856,9815.485844645551,2058.6284295772757,188.72579223262332,1046.7000283713776,0.0,55.138205,0.0,1512.428874173173
2018-01-15 16:00:00,14138.90371899902,8908.710161579604,1990.2172911073817,148.87754590631326,1011.0570894954014,0.0,55.261528,0.0,2024.7801019113015
2018-01-15 17:00:00,13371.009061289717,9081.154453405146,1912.5934963791774,97.5637916620617,947.5691155536167,0.0,55.138205,0.0,1276.99
2018-01-15 18:00:00,12083.951511986354,8109.586913197669,1749.996526710197,6.3895515375779155,885.8201705545566,0.0,55.168347999999995,0.0,1276.99
2018-01-15 19:00:00,11822.652227646187,7928.582137876536,1735.977629775848,0.0,825.865418347617,0.0,55.237038,0.0,1276.99
2018-01-15 20:00:00,11792.181331080012,7203.658742319768,1763.80319508227,0.0,779.5920965496372,0.0,55.237038,0.0,1989.8902570483265
2018-01-15 21:00:00,11821.786182688258,7944.733755631218,1787.9041891567438,4.5095234264397845,752.4116767856003,0.0,55.237038,0.0,1276.99
2018-01-15 22:00:00,11895.94082543613,7985.561918097008,1818.8096951268944,5.424691878920157,753.8929918971799,0.0,55.261528,0.0,1276.99
2018-01-15 23:00:00,12781.766688707621,8656.576465586139,1958.3176273351194,69.23562199316581,765.4786260855773,0.0,55.168347999999995,0.0,1276.99
