snapshot,Load,coal,CCGT,OCGT,onwind,solar,ror,battery,hydro
2018-07-15 00:00:00,9569.94356500458,4853.442410821494,786.0870332295813,0.0,1182.088819298799,36.740789650126715,57.594513,0.0,2653.99
2018-07-15 01:00:00,9815.745395055395,5634.5718716165875,838.9249427423119,0.0,1159.0815965029365,189.92761027807762,57.281598,0.0,1935.957775860088
2018-07-15 02:00:00,10528.396616203627,5852.969274166558,940.645479374386,0.0,1040.0608841650321,823.8485058969932,57.019335999999996,0.0,1813.8531373970325
2018-07-15 03:00:00,10618.496717932161,4396.778472807523,661.7888686725944,0.0,937.645928794041,1911.1588477258433,57.1346,0.0,2653.99
2018-07-15 04:00:00,11300.156684699832,4018.7541663678758,492.6111848093374,0.0,1002.8023576876319,3075.0597161351616,56.939259,0.0,2653.99
2018-07-15 05:00:00,11745.658250294211,3527.596097570635,286.8864843297404,0.0,1189.442318200535,4031.3937648991296,56.349586,0.0,2653.99
2018-07-15 06:00:00,11745.658250294211,3501.6362495544704,234.72079819022935,0.0,1121.4863378080843,4637.876014131389,55.663575,0.0,2194.275276315828
2018-07-15 07:00:00,11755.208862539115,3661.7711749546665,248.7235750449726,0.0,1005.7511386346467,4965.796301855236,55.959125,0.0,1817.2075475104791
2018-07-15 08:00:00,11818.387755769545,3747.5216755216725,230.66350810856957,0.0,986.1700784223194,4980.338875851854,55.767764,0.0,1817.9258540955852
2018-07-15 09:00:00,11900.744611650609,3721.7670751870096,226.15229900501296,0.0,1025.049995279344,4755.027521477619,55.702229,0.0,2117.045493051015
2018-07-15 10:00:00,11867.055097367369,3639.0735049454693,241.49972024416394,0.0,1033.6590637947493,4243.286495015618,55.546313999999995,0.0,2653.99
2018-07-15 11:00:00,11871.549761073076,4313.6058814204725,236.1768407091421,0.0,1228.9421406992083,3383.1358241711687,55.699076,0.0,2653.99
2018-07-15 12:00:00,11896.097202462872,5071.941872071762,290.2547345695914,0.0,1422.1060266770487,2402.1770496815934,55.627519,0.0,2653.99
2018-07-15 13:00:00,11896.097202462872,5800.269080698488,463.0184990286962,0.0,1520.4916120664748,1402.78392120634,55.544089,0.0,2653.99
2018-07-15 14:00:00,11500.339505236807,5917.43968185359,597.3352890259944,0.0,1702.2756758100004,573.7547703104175,55.544089,0.0,2653.99
2018-07-15 15:00:00,11352.814410660774,5905.879921238391,721.6482568285394,0.0,1910.8037041630294,104.9484417700422,55.544089,0.0,2653.99
2018-07-15 16:00:00,11372.550734786397,5855.43610555708,700.4941164614175,0.0,2101.4262821448956,5.641830836608567,55.562400999999994,0.0,2653.99
2018-07-15 17:00:00,11122.94634615659,5584.961567218143,637.4744128260974,0.0,2190.957965955761,0.0,55.562400999999994,0.0,2653.99
2018-07-15 18:00:00,10481.093752189303,5295.184064999303,524.9378296398629,0.0,2174.667056715428,0.0,55.562400999999994,0.0,2430.7424006454085
2018-07-15 19:00:00,10128.163257102156,5157.0408521507015,508.7776394339432,0.0,2122.9929131126255,0.0,55.662272,0.0,2283.689580302731
2018-07-15 20:00:00,9689.044113969878,5003.032488511604,448.12098596791617,0.0,2068.8550035707585,0.0,55.572573,0.0,2113.4630619497234
2018-07-15 21:00:00,9657.785372285854,4987.5870863702885,440.4563502888592,0.0,2072.2208183055786,0.0,55.637691,0.0,2101.8834260352746
2018-07-15 22:00:00,9705.470465425069,5001.90935599307,370.86455428682666,0.0,2155.375402602801,0.0,55.627519,0.0,2121.693632117305
2018-07-15 23:00:00,9713.457080868315,5064.829067968224,372.1022525512609,0.0,2096.3763989516283,0.0,55.637691,0.0,2124.511671528888
