res_share,thermal_ramping
0.1,4168334.4911576807
0.15,5100342.13524381
0.2,4723988.875857603
0.25,5704868.915007064
0.3,5567736.779248292
0.35,6436437.65441305
0.4,6638958.183695135
0.45,7094190.408597739
0.5,6765879.786629514
0.55,7372212.54938383
0.6,6796395.26837831
