res_share,total_cost,tariff
0.1,3254.7889357887016,28.2372202933293
0.15,3128.9243077908736,27.077832666266726
0.2,3022.213835636808,26.094881355310935
0.25,3199.5793796572957,27.72866378072853
0.3,3416.3646295511653,29.725556318804895
0.35,3676.1782621656107,32.11879988363366
0.4,3949.804098401088,34.63927298256927
0.45,4243.067661943107,37.34063676084033
0.5,4548.866342585279,40.157466336777354
0.55,4858.927759822505,43.01356162337788
0.6,5188.163550466972,46.046279457859114
