Technology,Capital Cost [M€],Operating Cost [M€],Energy Supplied [GWh],LCOE [EUR/MWh]
solar,894.8243742818939,135.88477668383737,13575.54938083232,75.9239366342711
onwind,2260.617573400879,490.59319875528064,32684.445666517942,84.17492529097744
ror,35.350647347575006,0.0046770327851570785,495.60983900699995,71.33701068404497
coal,8305.57309262885,1018.999801140706,36125.44404042378,258.11649216921774
CCGT,575.7293696654002,291.43573459667016,7231.13789614391,119.92097464003507
OCGT,127.28154473205241,3.720228079300603,67.93806252394322,1928.252999048721
