RES Share,CCGT,OCGT,coal
0.1,6.9178141730500355,0.26876144407499997,80.15527553024089
0.15,6.9178141730500355,0.26876144407499997,74.56272371205877
0.2,6.8984007373560585,0.23865216277071422,69.08822008196536
0.25,5.057492469914877,0.14488034725805177,68.99963646122175
0.3,4.062675360407898,0.05951846052832015,66.45287849524887
0.35,3.415671653022324,0.04708478245707158,62.752455254371746
0.4,3.079444403087097,0.041790868301633595,58.14077678032392
0.45,2.9089485582017556,0.03936780230615917,53.04507262640882
0.5,2.8445419999871846,0.037970611284834095,47.64120303039315
0.55,2.779799468204488,0.03683418861878186,42.23776532636332
0.6,2.5825492486228248,0.03396903126197161,37.22015446589117
